Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2021,0.569,72,40.8,87.2,12.4,33.4,28.4,53.9,19.7,24.2,10.6,35.1,24.1,7.0,4.8,13.2,19.3,113.7,72,41.3,89.1,11.9,34.2,29.3,55.0,16.9,21.1,10.0,32.7,24.4,7.7,5.0,12.3,19.8,111.4,25.4,-0.18,2.14,115.7,113.3,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,State Farm Arena,1647.0,0.0
Boston Celtics,2021,0.5,72,41.5,88.9,13.6,36.4,27.9,52.5,16.1,20.8,10.6,33.6,23.5,7.7,5.3,14.1,20.4,112.6,72,39.9,86.0,12.8,34.3,27.1,51.6,18.5,23.5,9.4,33.1,24.1,7.4,4.6,14.1,19.3,111.2,25.1,-0.14,1.32,114.0,112.5,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,TD Garden,835.0,0.0
Brooklyn Nets,2021,0.667,72,43.1,87.3,14.2,36.1,29.0,51.2,18.1,22.5,8.9,35.5,26.8,6.7,5.3,13.5,19.0,118.6,72,41.9,91.3,13.2,36.2,28.7,55.1,17.1,22.0,10.5,32.6,24.0,7.6,4.6,12.6,18.9,114.1,28.2,-0.27,4.24,118.3,113.8,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,Barclays Center,847.0,0.125
Charlotte Hornets,2021,0.458,72,39.9,87.8,13.7,37.0,26.3,50.8,15.9,20.9,10.6,33.2,26.8,7.8,4.8,14.8,18.0,109.5,72,41.3,88.1,14.5,39.5,26.8,48.6,14.4,19.3,10.6,34.5,27.1,8.1,4.8,14.8,18.6,111.4,24.6,-0.01,-1.94,110.9,112.8,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,Spectrum Center,1896.0,0.0
Chicago Bulls,2021,0.431,72,42.2,88.6,12.6,34.0,29.6,54.6,13.8,17.5,9.6,35.3,26.8,6.7,4.2,15.1,18.9,110.7,72,41.4,87.7,11.5,32.3,29.9,55.3,17.2,22.2,8.7,33.5,24.1,8.5,5.1,12.7,17.7,111.6,25.6,-0.05,-0.94,111.1,112.0,99.0,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,United Center,379.0,0.0
Cleveland Cavaliers,2021,0.306,72,38.6,85.8,10.0,29.7,28.6,56.0,16.7,22.4,10.4,32.3,23.8,7.8,4.5,15.5,18.2,103.8,72,42.0,86.7,12.4,32.4,29.6,54.3,15.9,20.4,9.9,33.8,25.4,8.5,5.9,14.3,20.2,112.3,24.0,0.25,-8.19,105.8,114.4,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13.0,76.6,0.183,Rocket Mortgage Fieldhouse,2541.0,0.0
Dallas Mavericks,2021,0.583,72,41.1,87.3,13.8,38.1,27.3,49.2,16.5,21.2,9.1,34.2,22.9,6.3,4.3,12.1,19.4,112.4,72,40.1,87.1,12.8,35.2,27.2,51.8,17.2,22.5,9.8,34.2,22.7,7.3,3.7,12.6,20.1,110.2,26.3,-0.01,2.26,115.4,113.0,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,American Airlines Center,2635.0,0.0
Denver Nuggets,2021,0.653,72,43.3,89.2,12.9,34.2,30.4,55.0,15.7,19.5,10.5,33.9,26.8,8.1,4.5,13.5,19.1,115.1,72,40.0,85.4,13.0,35.7,27.1,49.7,17.1,22.1,9.1,32.1,25.9,7.5,4.5,14.1,19.2,110.1,26.1,-0.11,4.82,117.1,112.1,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,Ball Arena,1516.0,0.125
Detroit Pistons,2021,0.278,72,38.7,85.6,11.6,32.9,27.1,52.7,17.8,23.4,9.6,33.1,24.2,7.4,5.2,14.9,20.5,106.6,72,41.4,86.9,11.3,31.4,30.0,55.6,17.0,22.3,10.0,34.4,24.8,8.0,5.8,13.9,20.4,111.1,24.5,0.09,-4.38,108.0,112.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,Little Caesars Arena,396.0,0.0
Golden State Warriors,2021,0.542,72,41.3,88.2,14.6,38.7,26.7,49.4,16.6,21.1,8.0,35.1,27.7,8.2,4.8,15.0,21.2,113.7,72,40.2,89.0,12.4,34.5,27.9,54.5,19.8,25.5,10.7,36.6,23.8,7.9,4.3,15.0,19.5,112.7,26.7,0.04,1.1,111.1,110.1,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,Chase Center,929.0,0.0
Houston Rockets,2021,0.236,72,39.3,88.5,13.8,40.6,25.5,47.9,16.5,22.3,9.3,33.3,23.6,7.6,5.0,14.7,19.5,108.8,72,42.7,89.0,13.4,35.2,29.3,53.9,17.9,22.8,9.9,37.7,25.8,8.5,5.3,14.7,19.3,116.7,26.5,0.4,-7.5,107.1,114.9,101.4,0.252,0.459,0.553,0.521,13.0,19.8,0.187,0.555,12.9,77.1,0.201,Toyota Center,3250.0,0.0
Indiana Pacers,2021,0.472,72,43.3,91.2,12.3,34.0,30.9,57.3,16.4,20.7,9.0,33.7,27.4,8.5,6.4,13.5,20.2,115.3,72,42.7,91.3,11.5,31.5,31.2,59.9,18.4,23.5,11.3,35.5,26.1,7.4,5.3,14.8,18.1,115.3,26.5,-0.08,-0.13,112.4,112.4,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,Bankers Life Fieldhouse,,0.0
Los Angeles Clippers,2021,0.653,72,41.8,86.7,14.3,34.7,27.5,52.0,16.2,19.3,9.4,34.7,24.4,7.1,4.1,13.2,19.2,114.0,72,40.1,86.4,11.6,32.5,28.5,53.9,16.1,20.7,9.2,32.0,22.9,7.1,4.2,12.8,18.1,107.8,28.8,-0.16,6.02,117.6,111.2,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,STAPLES Center,386.0,0.25
Los Angeles Lakers,2021,0.583,72,40.6,86.1,11.1,31.2,29.6,54.8,17.2,23.3,9.7,34.6,24.7,7.8,5.4,15.2,19.1,109.5,72,39.8,86.4,11.4,32.2,28.4,54.2,15.9,20.5,8.8,33.2,24.7,8.2,4.5,15.2,21.3,106.8,28.2,-0.03,2.77,109.9,107.1,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,STAPLES Center,648.0,0.0
Memphis Grizzlies,2021,0.528,72,42.8,91.8,11.2,31.4,31.7,60.4,16.4,21.3,11.2,35.3,26.9,9.1,5.1,13.3,18.7,113.3,72,41.0,88.7,12.9,35.1,28.2,53.6,17.4,22.1,9.8,34.9,25.4,7.7,5.2,14.8,18.3,112.3,24.2,0.04,1.07,112.0,111.0,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,FedEx Forum,1707.0,0.0
Miami Heat,2021,0.556,72,39.2,83.7,12.9,36.2,26.3,47.5,16.7,21.1,8.0,33.5,26.3,7.9,4.0,14.1,18.9,108.1,72,39.1,85.2,14.3,39.1,24.8,46.2,15.6,19.9,9.5,33.4,25.8,7.5,4.0,15.1,19.6,108.0,27.4,-0.09,-0.06,111.2,111.2,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,AmericanAirlines Arena,,0.0
Milwaukee Bucks,2021,0.639,72,44.7,91.8,14.4,37.1,30.3,54.7,16.2,21.4,10.3,37.8,25.5,8.1,4.6,13.8,17.3,120.1,72,42.4,92.9,14.8,38.6,27.6,54.3,14.6,18.8,9.6,33.8,25.1,7.0,4.8,13.2,18.3,114.2,28.1,-0.32,5.57,117.2,111.4,102.2,0.233,0.404,0.593,0.566,12.0,23.3,0.177,0.536,11.5,79.7,0.157,Fiserv Forum,1799.0,1.0
